URL	TITLE	SOCIAL TAG	COURSE NAME	PROVIDER	PRICE	DURATION	CERTIFICATE	INSTRUCTOR	DESCRIPTION	LEVEL	ISVALID?
https://redhoop.com	Your Complete Guide to All Online Courses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
http://blog.redhoop.com	RedHoop Blog | Search. Learn. Grow.	N/A									0
https://redhoop.com/studylist-features.html	Study List Features	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/accounts/login	Login	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/our_story.html	Our Story	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/mentions.html	Our Mentions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/topics.html	Online Course Topics	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/categories.html	Online Course Categories	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/write_for_us.html	Write for Us	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/our_team.html	Our Team	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/work_with_us.html	Work With Us	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/topic/top-photo-courses.html	Photo Online Course Guide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/provider/tuts-online-courses.html	Tuts+ Video Courses	N/A	Tuts+ Video Courses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/paid-linkedin-online-courses.html	Paid Linkedin Online Courses	N/A	Paid Linkedin Online Courses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0
https://redhoop.com/udemy-how-to-create-anything-for-print-digital-w-adobe-indesign-912-2.html	"Online Course - How to create anything for print, digital w/ Adobe inDesign"	N/A	"Online Course - How to create anything for print, digital w/ Adobe inDesign"	Udemy	$99	3 hours	Yes	Adobe Guru Robert Farrell Adobe Apple Designer / Developer	"Based on my 26 years in the Adobe software training business and 28 years in the print and graphic design business from Aldus Pagemaker to QuarkXPress to the industry standard Adobe inDesign.... I will share my proven time-saving production techniques with you. A complete A-Z inDesign training on how to use InDesign, How to THINK the way Adobe inDesign THINKS! Learn to approach professional document layout the right way. Learn ho to save time and work fast using my proven production techniques along with how to build style sheets, create, edit and build master pages, build a custom color library for your clients and build and edit inDesign templates. We will learn how to use inDesign to build all types of documents for print and digital devices like the iPad and make your layouts interactive with sound and video. This is an ongoing Adobe inDesign training course and i add new training tutorials a few times each month. Come learn and benefit from my decades of print production and digital development experience. - Carpe Diem - Robert</p>"	Appropriate for all	1
